start_id,end_id,relation,evidence,source,confidence
Person:can,Person:because,RELATED_TO,"It opens with the words: ""I propose to consider the question, 'Can machines think?'"" Because ""thinking"" is difficult to define, Turing chooses to ""replace the question by another, which is closely related to it and is expressed in relatively unambiguous words"".",wikipedia,medium
Person:can,Person:turing,RELATED_TO,"It opens with the words: ""I propose to consider the question, 'Can machines think?'"" Because ""thinking"" is difficult to define, Turing chooses to ""replace the question by another, which is closely related to it and is expressed in relatively unambiguous words"".",wikipedia,medium
Person:because,Person:can,RELATED_TO,"It opens with the words: ""I propose to consider the question, 'Can machines think?'"" Because ""thinking"" is difficult to define, Turing chooses to ""replace the question by another, which is closely related to it and is expressed in relatively unambiguous words"".",wikipedia,medium
Person:because,Person:turing,RELATED_TO,"It opens with the words: ""I propose to consider the question, 'Can machines think?'"" Because ""thinking"" is difficult to define, Turing chooses to ""replace the question by another, which is closely related to it and is expressed in relatively unambiguous words"".",wikipedia,medium
Person:turing,Person:can,RELATED_TO,"It opens with the words: ""I propose to consider the question, 'Can machines think?'"" Because ""thinking"" is difficult to define, Turing chooses to ""replace the question by another, which is closely related to it and is expressed in relatively unambiguous words"".",wikipedia,medium
Person:turing,Person:because,RELATED_TO,"It opens with the words: ""I propose to consider the question, 'Can machines think?'"" Because ""thinking"" is difficult to define, Turing chooses to ""replace the question by another, which is closely related to it and is expressed in relatively unambiguous words"".",wikipedia,medium
Theory:the_schreibmax,Theory:enigma,RELATED_TO,The Schreibmax was placed on top of the Enigma machine and was connected to the lamp panel.,wikipedia,medium
Theory:enigma,Theory:the_schreibmax,RELATED_TO,The Schreibmax was placed on top of the Enigma machine and was connected to the lamp panel.,wikipedia,medium
Person:alan_turing,Work:on_computable_numbers,PUBLISHED,"Turing's proof is a proof by Alan Turing, first published in November 1936 with the title ""On Computable Numbers, with an Application to the Entscheidungsproblem"".",wikipedia,high
Person:alan_turing,Work:turing_s,PUBLISHED,"Turing's proof is a proof by Alan Turing, first published in November 1936 with the title ""On Computable Numbers, with an Application to the Entscheidungsproblem"".",wikipedia,high
Person:alan_turing,Work:november,PUBLISHED,"Turing's proof is a proof by Alan Turing, first published in November 1936 with the title ""On Computable Numbers, with an Application to the Entscheidungsproblem"".",wikipedia,high
Person:alan_turing,Work:application,PUBLISHED,"Turing's proof is a proof by Alan Turing, first published in November 1936 with the title ""On Computable Numbers, with an Application to the Entscheidungsproblem"".",wikipedia,high
Person:alan_turing,Work:entscheidungsproblem,PUBLISHED,"Turing's proof is a proof by Alan Turing, first published in November 1936 with the title ""On Computable Numbers, with an Application to the Entscheidungsproblem"".",wikipedia,high
