start_uid,end_uid,relation,evidence,source,confidence,extract_method,disputed,start_time,end_time,evidence_count
Person:turing,Location:london,BORN_IN,"Born in London, Turing was raised in southern England.",https://en.wikipedia.org/wiki/Alan_Turing,high,rule,false,,,1
Person:alan_turing,Organization:king_s_college_cambridge,EDUCATED_AT,"He graduated from King's College, Cambridge, and in 1938, earned a doctorate degree from Princeton University.",https://en.wikipedia.org/wiki/Alan_Turing,high,rule,false,,,1
Person:alan_turing,Organization:princeton_university,EDUCATED_AT,"He graduated from King's College, Cambridge, and in 1938, earned a doctorate degree from Princeton University.",https://en.wikipedia.org/wiki/Alan_Turing,high,rule,false,,,1
Person:turing,Organization:government_code_and_cypher_school,WORKED_AT,"During World War II, Turing worked for the Government Code and Cypher School at Bletchley Park, Britain's codebreaking centre that produced Ultra intelligence.",https://en.wikipedia.org/wiki/Alan_Turing,high,rule,false,,,1
Person:turing,Artifact:automatic_computing_engine,INVENTED,"After the war, Turing worked at the National Physical Laboratory, where he designed the Automatic Computing Engine, one of the first designs for a stored-program computer.",https://en.wikipedia.org/wiki/Alan_Turing,high,rule,false,,,1
Person:turing,Publication:the_chemical_basis_of_morphogenesis,AUTHORED,"Turing wrote on the chemical basis of morphogenesis and predicted oscillating chemical reactions such as the Belousov–Zhabotinsky reaction, first observed in the 1960s.",https://en.wikipedia.org/wiki/Alan_Turing,high,rule,false,,,1
Person:turing,Location:maida_vale,BORN_IN,"Turing was born in Maida Vale, London, while his father, Julius Mathison Turing, was on leave from his position with the Indian Civil Service (ICS) of the British Raj government at Chatrapur, then in the Madras Presidency and presently in Odisha state, in India.",https://en.wikipedia.org/wiki/Alan_Turing,high,rule,false,,,1
Person:alan_turing,Publication:the_applications_of_probability_to_cryptography,AUTHORED,"He wrote two papers discussing mathematical approaches, titled The Applications of Probability to Cryptography and Paper on Statistics of Repetitions, which were of such value to GC&CS and its successor GCHQ that they were not released to the UK National Archives until April 2012, shortly before the centenary of his birth.",https://en.wikipedia.org/wiki/Alan_Turing,high,rule,false,,,1
Person:turing,Artifact:automatic_computing_engine,WORKED_ON,"Between 1945 and 1947, Turing lived in Hampton, London, while he worked on the design of the ACE (Automatic Computing Engine) at the National Physical Laboratory (NPL).",https://en.wikipedia.org/wiki/Alan_Turing,high,rule,false,,,1
Person:turing,Concept:turing_test,PROPOSED,"During this time, he continued to do more abstract work in mathematics, and in ""Computing Machinery and Intelligence"", Turing addressed the problem of artificial intelligence, and proposed an experiment that became known as the Turing test, an attempt to define a standard for a machine to be called ""intelligent"".",https://en.wikipedia.org/wiki/Alan_Turing,high,rule,false,,,1
