doc_id,sentence_id,mention_text,canonical_name,label,context,source,evidence,confidence
wiki_alan_turing_001,1,Alan Mathison Turing,Alan Mathison Turing,Person,"Alan Mathison Turing (; 23 June 1912 – 7 June 1954) was an English mathematician, computer scientist, logician, cryptanalyst, philosopher and theoretical biologist.",wikipedia,"Alan Mathison Turing (; 23 June 1912 – 7 June 1954) was an English mathematician, computer scientist, logician, cryptanalyst, philosopher and theoretical biologist.",medium
wiki_alan_turing_001,2,Turing machine,Turing machine,Theory,"He was highly influential in the development of theoretical computer science, providing a formalisation of the concepts of algorithm and computation with the Turing machine, which can be considered a model of a general-purpose computer.",wikipedia,"He was highly influential in the development of theoretical computer science, providing a formalisation of the concepts of algorithm and computation with the Turing machine, which can be considered a model of a general-purpose computer.",medium
wiki_alan_turing_002,2,King's College,King's College,Organization,"He graduated from King's College, Cambridge, and in 1938, earned a doctorate degree from Princeton University.",wikipedia,"He graduated from King's College, Cambridge, and in 1938, earned a doctorate degree from Princeton University.",high
wiki_alan_turing_002,2,Princeton University,Princeton University,Organization,"He graduated from King's College, Cambridge, and in 1938, earned a doctorate degree from Princeton University.",wikipedia,"He graduated from King's College, Cambridge, and in 1938, earned a doctorate degree from Princeton University.",high
wiki_alan_turing_002,3,World War II,World War II,Event,"During World War II, Turing worked for the Government Code and Cypher School at Bletchley Park, Britain's codebreaking centre that produced Ultra intelligence.",wikipedia,"During World War II, Turing worked for the Government Code and Cypher School at Bletchley Park, Britain's codebreaking centre that produced Ultra intelligence.",high
wiki_alan_turing_002,3,Bletchley Park,Bletchley Park,Organization,"During World War II, Turing worked for the Government Code and Cypher School at Bletchley Park, Britain's codebreaking centre that produced Ultra intelligence.",wikipedia,"During World War II, Turing worked for the Government Code and Cypher School at Bletchley Park, Britain's codebreaking centre that produced Ultra intelligence.",high
wiki_alan_turing_004,7,Alan Turing,Alan Turing,Person,"The term ""Alan Turing law"" is used informally to refer to a 2017 law in the UK that retroactively pardoned men cautioned or convicted under historical legislation that outlawed homosexual acts.",wikipedia,"The term ""Alan Turing law"" is used informally to refer to a 2017 law in the UK that retroactively pardoned men cautioned or convicted under historical legislation that outlawed homosexual acts.",high
wiki_alan_turing_006,4,Alan Turing,Alan Turing,Person,"It is fair to say we owe much to Alan Turing for the fact that we are not under Nazi rule today.""",wikipedia,"It is fair to say we owe much to Alan Turing for the fact that we are not under Nazi rule today.""",high
wiki_alan_turing_008,2,Alan Turing,Alan Turing,Person,"However, both Julius and Ethel wanted their children to be brought up in Britain, so they moved to Maida Vale, London, where Alan Turing was born on 23 June 1912, as recorded by a blue plaque on the outside of the house of his birth, later the Colonnade Hotel.",wikipedia,"However, both Julius and Ethel wanted their children to be brought up in Britain, so they moved to Maida Vale, London, where Alan Turing was born on 23 June 1912, as recorded by a blue plaque on the outside of the house of his birth, later the Colonnade Hotel.",high
wiki_alan_turing_021,2,King's College,King's College,Organization,"There, Turing studied the undergraduate course in Schedule B from February 1931 to November 1934 at King's College, Cambridge, where he was awarded first-class honours in mathematics.",wikipedia,"There, Turing studied the undergraduate course in Schedule B from February 1931 to November 1934 at King's College, Cambridge, where he was awarded first-class honours in mathematics.",high
