entity_uid,entity_label,entity_text,attribute_name,attribute_value,evidence,source,confidence,extract_method
Person:alan_turing,Person,Alan Turing,occupation,mathematician,"Alan Mathison Turing (; 23 June 1912 – 7 June 1954) was an English mathematician, computer scientist, logician, cryptanalyst, philosopher and theoretical biologist.",https://en.wikipedia.org/wiki/Alan_Turing,high,regex_rule
Person:alan_turing,Person,Alan Turing,occupation,computer scientist,"Alan Mathison Turing (; 23 June 1912 – 7 June 1954) was an English mathematician, computer scientist, logician, cryptanalyst, philosopher and theoretical biologist.",https://en.wikipedia.org/wiki/Alan_Turing,high,regex_rule
Person:alan_turing,Person,Alan Turing,occupation,logician,"Alan Mathison Turing (; 23 June 1912 – 7 June 1954) was an English mathematician, computer scientist, logician, cryptanalyst, philosopher and theoretical biologist.",https://en.wikipedia.org/wiki/Alan_Turing,high,regex_rule
Person:alan_turing,Person,Alan Turing,occupation,cryptanalyst,"Alan Mathison Turing (; 23 June 1912 – 7 June 1954) was an English mathematician, computer scientist, logician, cryptanalyst, philosopher and theoretical biologist.",https://en.wikipedia.org/wiki/Alan_Turing,high,regex_rule
Person:alan_turing,Person,Alan Turing,occupation,philosopher,"Alan Mathison Turing (; 23 June 1912 – 7 June 1954) was an English mathematician, computer scientist, logician, cryptanalyst, philosopher and theoretical biologist.",https://en.wikipedia.org/wiki/Alan_Turing,high,regex_rule
Person:alan_turing,Person,Alan Turing,occupation,theoretical biologist,"Alan Mathison Turing (; 23 June 1912 – 7 June 1954) was an English mathematician, computer scientist, logician, cryptanalyst, philosopher and theoretical biologist.",https://en.wikipedia.org/wiki/Alan_Turing,high,regex_rule
Person:alan_turing,Person,Alan Turing,nationality,English,"Alan Mathison Turing (; 23 June 1912 – 7 June 1954) was an English mathematician, computer scientist, logician, cryptanalyst, philosopher and theoretical biologist.",https://en.wikipedia.org/wiki/Alan_Turing,high,regex_rule
Organization:government_code_and_cypher_school_at,Organization,Government Code and Cypher School at,org_type,school,"During World War II, Turing worked for the Government Code and Cypher School at Bletchley Park, Britain's codebreaking centre that produced Ultra intelligence.",https://en.wikipedia.org/wiki/Alan_Turing,high,regex_rule
Organization:bletchley_park,Organization,Bletchley Park,org_type,park,"During World War II, Turing worked for the Government Code and Cypher School at Bletchley Park, Britain's codebreaking centre that produced Ultra intelligence.",https://en.wikipedia.org/wiki/Alan_Turing,high,regex_rule
Organization:university_of_manchester,Organization,University of Manchester,org_type,university,"In 1948, Turing joined Max Newman's Computing Machine Laboratory at the University of Manchester, where he contributed to the development of early Manchester computers and became interested in mathematical biology.",https://en.wikipedia.org/wiki/Alan_Turing,high,regex_rule
Person:alan_turing,Person,Alan Turing,occupation,mathematician,"Atheist, homosexual, eccentric, marathon-running mathematician, A.",https://en.wikipedia.org/wiki/Alan_Turing,high,regex_rule
Person:alan_turing,Person,Alan Turing,occupation,engineer,"Turing's mother, Julius's wife, was Ethel Sara Turing (née Stoney), daughter of Edward Waller Stoney, chief engineer of the Madras Railways.",https://en.wikipedia.org/wiki/Alan_Turing,high,regex_rule
Person:alan_turing,Person,Alan Turing,occupation,mathematician,The Entscheidungsproblem (decision problem) was originally posed by German mathematician David Hilbert in 1928.,https://en.wikipedia.org/wiki/Alan_Turing,high,regex_rule
Person:alan_turing,Person,Alan Turing,nationality,German,The Entscheidungsproblem (decision problem) was originally posed by German mathematician David Hilbert in 1928.,https://en.wikipedia.org/wiki/Alan_Turing,high,regex_rule
Organization:princeton_university,Organization,Princeton University,org_type,university,"From September 1936 to July 1938, Turing spent most of his time studying under Church at Princeton University, in the second year as a Jane Eliza Procter Visiting Fellow.",https://en.wikipedia.org/wiki/Alan_Turing,high,regex_rule
Person:alan_turing,Person,Alan Turing,occupation,codebreaker,"The historian and wartime codebreaker Asa Briggs has said, ""You needed exceptional talent, you needed genius at Bletchley and Turing's was that genius.""",https://en.wikipedia.org/wiki/Alan_Turing,high,regex_rule
Organization:government_code_and_cypher_school,Organization,Government Code and Cypher School,org_type,school,"From September 1938, Turing worked part-time with the Government Code and Cypher School (GC&CS), the British codebreaking organisation.",https://en.wikipedia.org/wiki/Alan_Turing,high,regex_rule
Person:alan_turing,Person,Alan Turing,occupation,codebreaker,"He concentrated on cryptanalysis of the Enigma cipher machine used by Nazi Germany, together with Dilly Knox, a senior GC&CS codebreaker.",https://en.wikipedia.org/wiki/Alan_Turing,high,regex_rule
Organization:bletchley_park,Organization,Bletchley Park,org_type,park,"On 4 September 1939, the day after the UK declared war on Germany, Turing reported to Bletchley Park, the wartime station of GC&CS.",https://en.wikipedia.org/wiki/Alan_Turing,high,regex_rule
Person:alan_turing,Person,Alan Turing,occupation,mathematician,"A GCHQ mathematician, ""who identified himself only as Richard,"" said at the time that the fact that the contents had been restricted under the Official Secrets Act for some 70 years demonstrated their importance, and their relevance to post-war cryptanalysis:",https://en.wikipedia.org/wiki/Alan_Turing,high,regex_rule
Person:alan_turing,Person,Alan Turing,occupation,cryptanalyst,"According to historian Ronald Lewin, Jack Good, a cryptanalyst who worked with Turing, said of his colleague:",https://en.wikipedia.org/wiki/Alan_Turing,high,regex_rule
Organization:bletchley_park,Organization,"Bletchley Park""",org_type,park,"Peter Hilton recounted his experience working with Turing in Hut 8 in his ""Reminiscences of Bletchley Park"" from A Century of Mathematics in America:",https://en.wikipedia.org/wiki/Alan_Turing,high,regex_rule
Organization:bletchley_park,Organization,Bletchley Park,org_type,park,"At the end of the war, a memo was sent to all those who had worked at Bletchley Park, reminding them that the code of silence dictated by the Official Secrets Act did not end with the war but would continue indefinitely.",https://en.wikipedia.org/wiki/Alan_Turing,high,regex_rule
Organization:bletchley_park,Organization,Bletchley Park,org_type,park,"Within weeks of arriving at Bletchley Park, Turing had specified an electromechanical machine called the bombe, which could break Enigma more effectively than the Polish bomba kryptologiczna, from which its name was derived.",https://en.wikipedia.org/wiki/Alan_Turing,high,regex_rule
Organization:bletchley_park,Organization,Bletchley Park,org_type,park,"The cryptographers at Bletchley Park did not know of the Prime Minister's response, but as Milner-Barry recalled, ""All that we did notice was that almost from that day the rough ways began miraculously to be made smooth."" More than two hundred bombes were in operation by the end of the war.",https://en.wikipedia.org/wiki/Alan_Turing,high,regex_rule
Organization:bell_labs,Organization,Bell Labs,org_type,laboratory,"During this trip, he also assisted at Bell Labs with the development of secure speech devices.",https://en.wikipedia.org/wiki/Alan_Turing,high,regex_rule
