start_uid,end_uid,relation,evidence,source,confidence,extract_method,disputed,start_time,end_time,evidence_count
Person:alan_turing,Location:london,BORN_IN,"Born in London, Turing was raised in southern England.",https://en.wikipedia.org/wiki/Alan_Turing,high,rule,false,,,1
Person:alan_turing,Organization:king_s_college_cambridge,EDUCATED_AT,"He graduated from King's College, Cambridge, and in 1938, earned a doctorate degree from Princeton University.",https://en.wikipedia.org/wiki/Alan_Turing,high,rule,false,,,1
Person:alan_turing,Organization:princeton_university_orchestr,EDUCATED_AT,"He graduated from King's College, Cambridge, and in 1938, earned a doctorate degree from Princeton University.",https://en.wikipedia.org/wiki/Alan_Turing,high,rule,false,,,1
Person:alan_turing,Organization:government_code_and_cypher_school_at,WORKED_AT,"During World War II, Turing worked for the Government Code and Cypher School at Bletchley Park, Britain's codebreaking centre that produced Ultra intelligence.",https://en.wikipedia.org/wiki/Alan_Turing,high,rule,false,,,1
Person:alan_turing,Artifact:automatic_computing_engine,INVENTED,"After the war, Turing worked at the National Physical Laboratory, where he designed the Automatic Computing Engine, one of the first designs for a stored-program computer.",https://en.wikipedia.org/wiki/Alan_Turing,high,rule,false,,,1
Person:alan_turing,Publication:chemical_basis_of_morphogenesis,AUTHORED,"Turing wrote on the chemical basis of morphogenesis and predicted oscillating chemical reactions such as the Belousov–Zhabotinsky reaction, first observed in the 1960s.",https://en.wikipedia.org/wiki/Alan_Turing,high,rule,false,,,1
Person:alan_turing,Location:maida_vale,BORN_IN,"Turing was born in Maida Vale, London, while his father, Julius Mathison Turing, was on leave from his position with the Indian Civil Service (ICS) of the British Raj government at Chatrapur, then in the Madras Presidency and presently in Odisha state, in India.",https://en.wikipedia.org/wiki/Alan_Turing,high,rule,false,,,1
Person:alan_turing,Publication:applications_of_probability_to_cryptography,AUTHORED,"He wrote two papers discussing mathematical approaches, titled The Applications of Probability to Cryptography and Paper on Statistics of Repetitions, which were of such value to GC&CS and its successor GCHQ that they were not released to the UK National Archives until April 2012, shortly before the centenary of his birth.",https://en.wikipedia.org/wiki/Alan_Turing,high,rule,false,,,1
Person:alan_turing,Artifact:automatic_computing_engine,WORKED_ON,"Between 1945 and 1947, Turing lived in Hampton, London, while he worked on the design of the ACE (Automatic Computing Engine) at the National Physical Laboratory (NPL).",https://en.wikipedia.org/wiki/Alan_Turing,high,rule,false,,,1
Person:alan_turing,Concept:turing_test,PROPOSED,"During this time, he continued to do more abstract work in mathematics, and in ""Computing Machinery and Intelligence"", Turing addressed the problem of artificial intelligence, and proposed an experiment that became known as the Turing test, an attempt to define a standard for a machine to be called ""intelligent"".",https://en.wikipedia.org/wiki/Alan_Turing,high,rule,false,,,1
Person:john_von_neumann,Location:budapest,BORN_IN,"Von Neumann was born in Budapest, Kingdom of Hungary (then part of Austria-Hungary), on December 28, 1903, to a wealthy, non-observant Jewish family.",https://en.wikipedia.org/wiki/John_von_Neumann,high,rule,false,,,1
Person:claude_shannon,Location:petoskey,BORN_IN,"The Shannon family lived in Gaylord, Michigan, and Claude was born in a hospital in nearby Petoskey.",https://en.wikipedia.org/wiki/Claude_Shannon,high,rule,false,,,1
Person:claude_shannon,Organization:bell_labs_comp,WORKED_AT,"Shannon had worked at Bell Labs for a few months in the summer of 1937, and returned there to work on fire-control systems and cryptography during World War II, under a contract with section D-2 (Control Systems section) of the National Defense Research Committee (NDRC).",https://en.wikipedia.org/wiki/Claude_Shannon,high,rule,false,,,1
Person:max_newman,Location:cambridge,DIED_IN,"He died in Cambridge in 1984, two years later.",https://en.wikipedia.org/wiki/Max_Newman,high,rule,false,,,1
Person:donald_michie,Organization:government_code_and_cypher_school_at,WORKED_AT,"During World War II, Michie worked for the Government Code and Cypher School at Bletchley Park, contributing to the effort to solve ""Tunny"", a German teleprinter cipher.",https://en.wikipedia.org/wiki/Donald_Michie,high,rule,false,,,1
Person:donald_michie,Location:rangoon,BORN_IN,"Michie was born in Rangoon, Burma.",https://en.wikipedia.org/wiki/Donald_Michie,high,rule,false,,,1
Person:donald_michie,Organization:balliol_college_oxford,EDUCATED_AT,"He attended Rugby School and won a scholarship to study classics at Balliol College, Oxford.",https://en.wikipedia.org/wiki/Donald_Michie,high,rule,false,,,1
Person:gordon_welchman,Artifact:bombe,INVENTED,"Welchman invented the ""Diagonal Board"", an addition which made the British Bombe immensely more powerful.",https://en.wikipedia.org/wiki/Gordon_Welchman,high,rule,false,,,1
Person:robin_gandy,Location:oxfordshire,BORN_IN,"Robin Gandy was born in the village of Rotherfield Peppard, Oxfordshire, England.",https://en.wikipedia.org/wiki/Robin_Gandy,high,rule,false,,,1
Person:robin_gandy,Organization:abbotsholme_school,EDUCATED_AT,"Educated at Abbotsholme School in Derbyshire, Gandy took two years of the Mathematical Tripos, at King's College, Cambridge, before enlisting for military service in 1940.",https://en.wikipedia.org/wiki/Robin_Gandy,high,rule,false,,,1
Person:alan_turing,Artifact:bombe,INVENTED,"Alan Turing designed the British bombe on a more general principle, the assumption of the presence of text, called a crib,  that cryptanalysts could predict was likely to be present at a defined point in the message.",https://en.wikipedia.org/wiki/Bombe,high,rule,false,,,1
Person:alan_turing,Artifact:pilot_ace,INVENTED,"It was a preliminary version of the full ACE, which was designed by Alan Turing, who left NPL before construction of the Pilot ACE was completed.",https://en.wikipedia.org/wiki/Pilot_ACE,high,rule,false,,,1
Person:alan_turing,Event:world_war_ii,AFFECTED_BY,"The provision is named after Alan Turing, the World War II codebreaker and computing pioneer, who was convicted of gross indecency in 1952.",https://en.wikipedia.org/wiki/Alan_Turing_law,high,rule,false,,,1
Person:ayer,Organization:oxford_university,EDUCATED_AT,"Ayer was educated at Eton College and the University of Oxford, after which he studied the philosophy of logical positivism at the University of Vienna.",https://en.wikipedia.org/wiki/A._J._Ayer,high,rule,false,,,1
Person:ayer,Location:london,BORN_IN,"Ayer was born in St John's Wood, in north west London, to Jules Louis Cyprien Ayer and Reine (née Citroen), wealthy parents from continental Europe.",https://en.wikipedia.org/wiki/A._J._Ayer,high,rule,false,,,1
Person:alivisatos,Organization:bell_labs_comp,WORKED_AT,"After receiving his doctorate, Alivisatos joined AT&T Bell Labs working with Louis E.",https://en.wikipedia.org/wiki/Paul_Alivisatos,high,rule,false,,,1
Person:blake,Organization:rugby_school,EDUCATED_AT,"Blake was educated at Rugby School and graduated in 1977 from Trinity College, Cambridge with a Bachelor of Arts degree in Mathematics and Electrical Sciences.",https://en.wikipedia.org/wiki/Andrew_Blake_(computer_scientist),high,rule,false,,,1
Person:donald_michie,Location:london,BORN_IN,"She was born in London and spent her early childhood there, attending private schools.",https://en.wikipedia.org/wiki/Anne_McLaren,high,rule,false,,,1
Person:intelligence,Concept:turing_test,PROPOSED,"They developed several areas of research that would become part of AI, such as McCulloch and Pitts design for ""artificial neurons"" in 1943, and Turing's influential 1950 paper 'Computing Machinery and Intelligence', which introduced the Turing test and showed that ""machine intelligence"" was plausible.",https://en.wikipedia.org/wiki/Artificial_intelligence,high,rule,false,,,1
Person:hodges,Location:london,BORN_IN,"Hodges was born in London in 1949 and educated at Birkbeck, University of London, where he was awarded his Doctor of Philosophy degree in 1975 for research on twistor theory supervised by Roger Penrose.",https://en.wikipedia.org/wiki/Andrew_Hodges,high,rule,false,,,1
